horse_id,horse_avg_order_3,horse_avg_order_5,horse_avg_last3f_3,horse_avg_last3f_5,horse_win_rate_dist,horse_win_rate_venue,horse_win_rate_surface
2021103165,11.5,11.5,36.15,36.15,,,0.0
2021103166,14.0,11.75,35.36666666666667,35.3,0.0,0.0,0.0
2021103167,14.0,14.0,37.0,37.0,,0.0,0.0
2021103168,7.333333333333333,7.333333333333333,36.6,36.6,0.0,0.0,0.0
2021103169,9.0,9.0,40.23333333333333,40.23333333333333,0.0,0.0,0.0
2021103170,8.0,8.0,34.9,34.9,,,
2021103171,3.333333333333333,6.0,33.86666666666667,34.480000000000004,0.5,0.0,0.2222222222222222
2021103172,2.0,3.2,36.03333333333333,36.92,0.0,0.0,0.125
2021103174,8.5,8.5,42.7,42.7,0.0,0.0,0.0
2021103176,12.666666666666666,11.0,39.1,38.575,0.0,0.0,0.0
2021103177,7.666666666666667,6.75,37.46666666666666,36.825,0.0,0.0,0.0
2021103178,9.666666666666666,9.666666666666666,36.5,36.5,0.0,0.0,0.0
2021103179,9.666666666666666,8.75,37.56666666666667,37.45,0.0,0.0,0.0
2021103180,11.0,11.0,37.6,37.6,,,
2021103188,9.666666666666666,9.666666666666666,42.4,42.4,0.0,0.0,0.0
2021103189,16.0,16.0,36.1,36.1,0.0,0.0,
2021103193,9.666666666666666,9.8,36.56666666666667,36.34,0.0,0.0,0.0
2021103197,3.0,2.8,38.333333333333336,38.66,0.5,0.25,0.1428571428571428
2021103198,7.333333333333333,10.0,36.9,36.86,0.0,0.0,0.0
2021103200,8.333333333333334,7.6,37.333333333333336,37.98,0.0,0.0,0.0
2021103202,8.0,7.5,37.03333333333333,36.725,0.0,0.0,0.0
2021103203,9.0,6.4,35.03333333333333,34.94,0.2857142857142857,0.0,0.25
2021103204,7.0,5.2,37.63333333333333,37.44,0.3333333333333333,0.3333333333333333,0.2222222222222222
2021103205,11.5,11.5,39.75,39.75,0.0,0.0,0.0
2021103207,6.0,6.0,37.3,37.3,,,0.0
2021103208,5.666666666666667,4.4,38.26666666666667,38.02,0.0,0.0,0.0
2021103209,2.333333333333333,2.0,37.66666666666667,37.6,0.0,0.0,0.2
2021103210,11.333333333333334,11.0,37.13333333333333,36.76,0.0,0.0,0.1666666666666666
2021103211,9.333333333333334,8.2,36.9,37.28,0.0,0.0,0.0
2021103212,,,,,,,
2021103213,5.333333333333333,5.2,39.03333333333334,39.24,0.0,0.0,0.0
2021103214,12.666666666666666,8.2,39.0,38.220000000000006,0.5,0.3333333333333333,0.3333333333333333
2021103215,7.666666666666667,7.666666666666667,37.1,37.1,0.0,,0.0
2021103216,16.0,16.0,41.3,41.3,0.0,0.0,0.0
2021103217,8.0,5.8,35.86666666666667,35.7,0.25,0.0,0.1428571428571428
2021103218,8.0,10.6,35.36666666666667,35.440000000000005,0.0,0.0,0.0
2021103219,7.0,6.2,37.56666666666667,37.9,0.0,0.0,0.125
2021103220,,,,,,,
2021103221,13.0,13.0,37.5,37.5,,,0.0
2021103222,10.333333333333334,10.333333333333334,36.53333333333334,36.53333333333334,0.0,0.0,0.0
2021103223,1.0,1.0,36.6,36.6,1.0,,1.0
2021103225,6.0,6.0,37.86666666666667,37.72,0.4,1.0,0.5
2021103226,2.6666666666666665,3.5,36.5,35.825,0.0,0.25,0.3333333333333333
2021103227,5.333333333333333,4.4,34.53333333333333,34.28,0.2,0.5,0.1428571428571428
2021103228,6.666666666666667,7.2,37.43333333333334,37.5,0.0,0.0,0.0
2021103229,6.666666666666667,6.666666666666667,35.86666666666667,35.86666666666667,0.0,0.0,0.0
2021103232,4.0,4.75,38.86666666666667,38.9,0.0,0.0,0.25
2021103233,7.333333333333333,7.333333333333333,37.7,37.7,0.0,0.0,0.0
2021103234,15.0,15.0,35.5,35.5,,,0.0
2021103236,5.5,5.5,38.55,38.55,1.0,1.0,0.5
2021103237,6.5,8.0,35.0,36.13333333333333,0.0,0.0,0.0
2021103238,7.0,7.0,36.5,36.5,0.5,,0.5
2021103239,9.0,9.0,35.0,35.0,,,0.0
2021103240,8.0,8.0,38.86666666666667,37.7,0.0,0.0,0.0
2021103241,10.666666666666666,10.666666666666666,36.56666666666667,36.56666666666667,0.0,,0.0
2021103242,9.666666666666666,6.4,40.6,39.56,0.0,1.0,0.1666666666666666
2021103243,9.666666666666666,9.4,38.03333333333333,39.08,0.0,0.0,0.0
2021103245,7.5,7.5,37.85,37.85,0.0,0.0,0.0
2021103247,7.333333333333333,6.6,38.23333333333333,37.940000000000005,0.0,0.0,0.0
2021103248,15.0,15.0,39.65,39.65,,,0.0
2021103249,4.333333333333333,4.75,35.233333333333334,34.975,1.0,,0.25
